,precision,recall,f1-score,support
carcinoma_in_situ,0.7586206896551724,0.7096774193548387,0.7333333333333333,31.0
light_dysplastic,0.625,0.6818181818181818,0.6521739130434783,44.0
moderate_dysplastic,0.46511627906976744,0.5882352941176471,0.5194805194805194,34.0
normal_columnar,0.8125,0.7222222222222222,0.7647058823529411,18.0
normal_intermediate,0.8888888888888888,0.6153846153846154,0.7272727272727274,13.0
normal_superficiel,0.8333333333333334,0.9375,0.8823529411764706,16.0
severe_dysplastic,0.6842105263157895,0.5777777777777777,0.6265060240963854,45.0
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
macro avg,0.7239528167518502,0.6903736443821833,0.7008321915365506,201.0
weighted avg,0.6822614798048848,0.6666666666666666,0.6697561823365339,201.0
